"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.527363375E0,8.256611973E-2,3.348606080E-2,-1.599085331E-2
5.549112375E0,8.126115054E-2,3.222703189E-2,-1.358767226E-2
5.570880375E0,8.126569539E-2,3.098696098E-2,-1.476439647E-2
5.592639375E0,8.363030106E-2,3.343106061E-2,-1.234252006E-2
5.614398375E0,8.121229708E-2,3.096523881E-2,-1.476449240E-2
5.636170375E0,7.982520014E-2,3.339353204E-2,-1.003628410E-2
5.657916375E0,8.350884914E-2,3.338484466E-2,-1.113838237E-2
5.679676375E0,8.228647709E-2,3.214546666E-2,-1.234976668E-2
5.701434375E0,8.347781748E-2,3.460272402E-2,-1.237222832E-2
5.723194375E0,8.349593729E-2,3.336835280E-2,-1.354885288E-2
5.744960375E0,8.340014517E-2,3.333928809E-2,-1.113899983E-2
5.766712375E0,8.338077366E-2,3.456868231E-2,-1.116716489E-2
5.788496375E0,7.958887517E-2,3.454189748E-2,-7.655751891E-3
5.810260375E0,8.203837276E-2,3.576863557E-2,-8.820543997E-3
5.832019375E0,8.081439137E-2,3.452885896E-2,-1.003186125E-2
5.853759375E0,8.312154561E-2,3.448356315E-2,-5.144287366E-3
5.875534375E0,8.452122658E-2,3.822707012E-2,-1.483321749E-2
5.897296375E0,8.199925721E-2,3.450006992E-2,-1.240772568E-2
5.919055375E0,8.197633922E-2,3.325328976E-2,-1.237970591E-2
5.940801375E0,7.947634906E-2,3.076726012E-2,-1.118746772E-2
5.962574375E0,8.437184989E-2,3.446217999E-2,-1.233991235E-2
5.984333375E0,8.069247007E-2,3.322514519E-2,-1.361978240E-2
6.006091375E0,8.053050935E-2,3.318198025E-2,-7.595760748E-3
6.027851375E0,7.903662324E-2,3.357715160E-2,-1.007739455E-2
6.049617375E0,8.028983325E-2,3.481441736E-2,-1.248090062E-2
6.071400375E0,8.396136016E-2,3.233158216E-2,-1.232159231E-2
6.093159375E0,8.268289268E-2,3.231655434E-2,-1.115122717E-2
6.114916375E0,8.136659116E-2,3.476472944E-2,-8.832547814E-3
6.136651375E0,7.892996818E-2,3.476472944E-2,-1.131133083E-2
6.158435375E0,8.748146147E-2,3.350606933E-2,-9.838087484E-3
6.180194375E0,8.139955997E-2,3.352132067E-2,-1.362434682E-2
6.201954375E0,8.254433423E-2,2.855174430E-2,-9.862680919E-3
6.223712375E0,8.001662791E-2,2.111572400E-2,-6.147690117E-3
6.245475375E0,8.191130310E-2,1.479374710E-2,1.936252974E-2
6.267230375E0,8.227617294E-2,5.566955358E-2,-6.870377809E-3
6.288989375E0,8.128665388E-2,4.212220013E-2,-1.623327099E-2
6.310748375E0,8.116389066E-2,3.590713441E-2,-1.006907318E-2
6.332507375E0,8.205087483E-2,3.116873093E-2,-4.971527681E-2
6.354297375E0,8.284220099E-2,2.735012583E-2,-3.031977639E-2
6.376056375E0,7.990849763E-2,2.970115468E-2,-9.966438636E-3
6.397816375E0,8.227697760E-2,4.080460593E-2,-1.014838088E-2
6.419574375E0,8.602579683E-2,3.216009587E-2,-1.225690171E-2
6.441340375E0,7.746572793E-2,3.093612008E-2,-1.487868000E-2
6.463092375E0,8.556933701E-2,2.986491844E-2,-4.837895185E-2
6.484851375E0,7.994356006E-2,3.275365755E-2,-1.281593144E-1
6.506602375E0,8.743418008E-2,4.148696363E-2,8.280038834E-2
6.528369375E0,7.939378172E-2,2.035002559E-1,-1.971497834E-1
6.550141375E0,-4.892233908E-1,8.928542733E-1,-1.348557591E0
6.571887375E0,-2.832185626E-1,2.398911238E0,5.443959236E-1
6.593646375E0,-5.032373071E-1,4.596055508E0,1.172962904E0
6.615405375E0,-6.081200838E-1,4.082786560E0,1.578285456E0
6.637177375E0,-4.780022800E-1,4.656017780E0,1.735236406E0
6.658954375E0,-2.973846197E-1,4.856925488E0,2.241994143E0
6.680713375E0,9.504413009E-1,5.271601677E0,2.343391657E0
6.702472375E0,1.228867769E0,7.746067524E0,2.766227961E0
6.724231375E0,8.575772643E-1,9.599144936E0,2.870415449E0
6.745977375E0,1.802600980E0,9.974909782E0,1.739524722E0
6.767746375E0,2.688235283E0,9.283964157E0,3.624210060E-1
6.789508375E0,3.094467163E0,8.896474838E0,-1.126597643E0
6.811267375E0,2.496978760E0,9.466737747E0,-2.170027494E0
6.833034375E0,1.366357327E0,1.082495785E1,-2.015544891E0
6.854804375E0,-9.425103664E-2,1.072905636E1,-9.669089317E-1
6.876544375E0,-8.348745704E-1,9.123188972E0,1.904348135E-1
6.898303375E0,2.557247281E-1,6.886333466E0,6.418526173E-1
6.920062375E0,2.244531870E0,4.860835552E0,3.382885363E-3
6.941847375E0,3.367508173E0,2.902167797E0,-7.789435387E-1
6.963611375E0,3.214365959E0,1.924507380E0,-8.080053926E-1
6.985370375E0,2.349659443E0,1.495084524E0,-5.102112293E-1
7.007128375E0,1.466568828E0,1.198120117E0,-7.378901839E-1
7.028889375E0,9.382563829E-1,6.172285080E-1,-9.648808837E-1
7.050648375E0,5.572378635E-1,6.184932590E-2,-7.302579880E-1
7.072406375E0,4.653051794E-1,-5.105431676E-1,-1.219238043E-1
7.094165375E0,7.125516534E-1,-3.063957393E-1,-2.329632491E-1
7.115924375E0,8.891565204E-1,5.547173023E-1,-3.488621414E-1
7.137685375E0,6.053351164E-1,1.107754230E0,4.105347395E-1
7.159443375E0,4.978991449E-1,9.743912816E-1,1.122967362E0
7.181201375E0,8.179444671E-1,-9.359341860E-2,8.331469297E-1
7.202960375E0,1.300697327E0,-4.569200873E-1,-5.662861466E-1
7.224750375E0,1.277629375E0,-4.597966969E-1,-1.182835579E0
7.246507375E0,6.603078842E-1,-1.835443527E-1,-3.408836722E-1
7.268250375E0,1.514047086E-1,-2.637170553E-1,1.795020998E-1
7.290027375E0,3.214288652E-1,-4.167232513E-1,1.371069700E-1
7.311786375E0,5.595427155E-1,-2.785043716E-1,1.189217046E-1
7.333537375E0,3.246265650E-1,-2.759816647E-1,-9.141929448E-2
7.355299375E0,-1.785809547E-1,-2.309797257E-1,-1.270028651E-1
7.377069375E0,-3.728628755E-1,-8.276080340E-2,1.221552864E-1
7.398822375E0,-6.702981144E-2,-2.077995092E-1,3.746328056E-1
7.420582375E0,2.460870296E-1,-1.697930396E-1,1.559003741E-1
7.442351375E0,3.120598793E-1,-1.165475249E-1,-1.134802327E-1
7.464099375E0,-1.461532414E-1,-1.745277792E-1,1.691541076E-1
7.485858375E0,-6.179780364E-1,7.011268288E-3,4.592176080E-1
7.507617375E0,-5.924832225E-1,2.236077935E-1,5.912175179E-1
7.529404375E0,-1.007095352E-1,5.236987770E-2,4.509496391E-1
7.551166375E0,1.416563839E-1,-2.766840160E-1,6.862437725E-2
7.572925375E0,3.090587854E-1,-2.752736509E-1,-2.196444422E-1
7.594684375E0,2.610395551E-1,4.562142864E-2,4.534673691E-2
